0. particle | coordinate X:  0.000000 | velocity_X:   1.000000 | force_X:  0.000000
1. particle | coordinate X:100.000000 | velocity_X:   0.000000 | force_X:  0.000000
0. particle | coordinate X:  0.010000 | velocity_X:   0.999999 | force_X: -0.000100
1. particle | coordinate X:100.000000 | velocity_X:  -0.000001 | force_X: -0.000103
0. particle | coordinate X:  0.020000 | velocity_X:   0.999997 | force_X: -0.000203
1. particle | coordinate X:100.000000 | velocity_X:  -0.000003 | force_X: -0.000206
0. particle | coordinate X:  0.030000 | velocity_X:   0.999994 | force_X: -0.000306
1. particle | coordinate X:100.000000 | velocity_X:  -0.000006 | force_X: -0.000309
0. particle | coordinate X:  0.040000 | velocity_X:   0.999990 | force_X: -0.000409
1. particle | coordinate X:100.000000 | velocity_X:  -0.000010 | force_X: -0.000412
0. particle | coordinate X:  0.050000 | velocity_X:   0.999985 | force_X: -0.000512
1. particle | coordinate X:100.000000 | velocity_X:  -0.000015 | force_X: -0.000515
0. particle | coordinate X:  0.059999 | velocity_X:   0.999979 | force_X: -0.000615
1. particle | coordinate X: 99.999999 | velocity_X:  -0.000022 | force_X: -0.000618
0. particle | coordinate X:  0.069999 | velocity_X:   0.999971 | force_X: -0.000718
1. particle | coordinate X: 99.999999 | velocity_X:  -0.000029 | force_X: -0.000721
0. particle | coordinate X:  0.079999 | velocity_X:   0.999963 | force_X: -0.000821
1. particle | coordinate X: 99.999999 | velocity_X:  -0.000037 | force_X: -0.000824
0. particle | coordinate X:  0.089998 | velocity_X:   0.999954 | force_X: -0.000924
1. particle | coordinate X: 99.999998 | velocity_X:  -0.000046 | force_X: -0.000927
0. particle | coordinate X:  0.099998 | velocity_X:   0.999944 | force_X: -0.001027
1. particle | coordinate X: 99.999998 | velocity_X:  -0.000057 | force_X: -0.001030
0. particle | coordinate X:  0.109997 | velocity_X:   0.999932 | force_X: -0.001130
1. particle | coordinate X: 99.999997 | velocity_X:  -0.000068 | force_X: -0.001133
0. particle | coordinate X:  0.119996 | velocity_X:   0.999920 | force_X: -0.001233
1. particle | coordinate X: 99.999996 | velocity_X:  -0.000080 | force_X: -0.001236
0. particle | coordinate X:  0.129995 | velocity_X:   0.999907 | force_X: -0.001336
1. particle | coordinate X: 99.999995 | velocity_X:  -0.000094 | force_X: -0.001339
